workload_id,machine_id,file_system,io_scheduler,disk_type,block_size,bg_count,inode_size,throughput
4,6,ext3,2,3,4096,8,512,15644.0
4,6,ext3,2,3,4096,8,1024,15730.333333333336
4,6,ext3,2,3,4096,12,256,15636.0
4,6,ext3,2,3,4096,12,512,15777.333333333336
4,6,ext3,2,3,4096,12,1024,15651.0
4,6,ext3,2,3,4096,12,2048,15653.333333333336
4,6,ext3,2,3,4096,16,256,15737.0
4,6,ext3,2,3,4096,16,512,15534.0
4,6,ext3,2,3,4096,16,1024,15774.333333333336
4,6,ext3,2,3,4096,32,128,15701.333333333336
4,6,ext3,2,3,4096,32,256,15652.666666666664
4,6,ext3,2,3,4096,32,512,15490.333333333336
4,6,ext3,2,3,4096,32,1024,15740.0
